Cases_per_Million,C6_Stay_at_home_requirements
L0_0__5_62L,4
L5_62__11_23L,4
L0_0__5_62L,4
L0_0__5_62L,4
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,3
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
L0_0__5_62L,1
